"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846047_3663846049[Simulated Levels\CDX.NA.IG.OTR.5Y]"
"0","20241018","100.002346366","100.002346366"
"0","20241021","99.9917609793","99.9917609793"
"0","20241022","99.9961133128","99.9961133128"
"0","20241023","99.9896201515","99.9896201515"
"0","20241024","100.007895178","100.007895178"
"0","20241025","99.9960380155","99.9960380155"
"0","20241028","100.009255983","100.009255983"
"0","20241029","99.9984851369","99.9984851369"
"0","20241030","99.9945290135","99.9945290135"
"0","20241031","99.9884675149","99.9884675149"
"0","20241101","100.00782012","100.00782012"
"0","20241104","99.9919607565","99.9919607565"
"0","20241105","100.021840934","100.021840934"
"0","20241106","100.028638354","100.028638354"
"0","20241107","100.010027519","100.010027519"
"0","20241108","100.009180666","100.009180666"
"0","20241111","100","100"
"0","20241112","99.9897336126","99.9897336126"
"0","20241113","99.996778859","99.996778859"
"0","20241114","99.9924995411","99.9924995411"
"0","20241115","99.995176209","99.995176209"
"0","20241118","100.004493356","100.004493356"
"0","20241119","100.001530077","100.001530077"
"0","20241120","99.9990631455","99.9990631455"
"0","20241121","100.002579005","100.002579005"
"0","20241122","100.002732045","100.002732045"
"0","20241125","100.00647587","100.00647587"
"0","20241126","99.9973863042","99.9973863042"
"0","20241127","100.000568089","100.000568089"
"0","20241128","100","100"
"0","20241129","100.005935234","100.005935234"
"0","20241202","100.003547021","100.003547021"
"0","20241203","99.9973894673","99.9973894673"
"0","20241204","99.9994804158","99.9994804158"
"0","20241205","100.002986705","100.002986705"
"0","20241206","100.00254812","100.00254812"
"0","20241209","99.9945420401","99.9945420401"
"0","20241210","100.002384914","100.002384914"
"0","20241211","100.005758503","100.005758503"
"0","20241212","99.9920435431","99.9920435431"
"0","20241213","99.995627077","99.995627077"
"0","20241216","100.003694518","100.003694518"
"0","20241217","99.9978454985","99.9978454985"
"0","20241218","99.9703681828","99.9703681828"
"0","20241219","99.9888748278","99.9888748278"
"0","20241220","100.022249374","100.022249374"
"0","20241223","99.9964647038","99.9964647038"
"0","20241224","100.010037471","100.010037471"
"0","20241225","100","100"
"0","20241226","100.005009222","100.005009222"
"0","20241227","99.9893391167","99.9893391167"
"0","20241230","99.9884994782","99.9884994782"
"0","20241231","100.00413011","100.00413011"
"0","20250101","100","100"
"0","20250102","100.005532064","100.005532064"
"0","20250103","100.007316763","100.007316763"
"0","20250106","100.002494651","100.002494651"
"0","20250107","99.9893606958","99.9893606958"
"0","20250108","99.9947895973","99.9947895973"
"0","20250109","99.9943771362","99.9943771362"
"0","20250110","99.987642769","99.987642769"
"0","20250113","99.9978452091","99.9978452091"
"0","20250114","100.009741444","100.009741444"
"0","20250115","100.022395731","100.022395731"
"0","20250116","99.9935977979","99.9935977979"
"0","20250117","100.005007116","100.005007116"
"0","20250120","100","100"
"0","20250121","100.015261774","100.015261774"
"0","20250122","99.9915141139","99.9915141139"
"0","20250123","100.005651832","100.005651832"
"0","20250124","99.9965668978","99.9965668978"
"0","20250127","99.9920352213","99.9920352213"
"0","20250128","100.005608245","100.005608245"
"0","20250129","99.9974045769","99.9974045769"
"0","20250130","100.004019727","100.004019727"
"0","20250131","99.9955555722","99.9955555722"
"0","20250203","99.9950856457","99.9950856457"
"0","20250204","100.009504391","100.009504391"
"0","20250205","100.002385356","100.002385356"
"0","20250206","99.9981243228","99.9981243228"
"0","20250207","99.9937715107","99.9937715107"
"0","20250210","100.006309726","100.006309726"
"0","20250211","100.000534553","100.000534553"
"0","20250212","100.003836381","100.003836381"
"0","20250213","100.007898323","100.007898323"
"0","20250214","100.00221111","100.00221111"
"0","20250217","100","100"
"0","20250218","100.00201778","100.00201778"
"0","20250219","99.9992622161","99.9992622161"
"0","20250220","99.9978457611","99.9978457611"
"0","20250221","99.9806151153","99.9806151153"
"0","20250224","99.9971365292","99.9971365292"
"0","20250225","100.001184053","100.001184053"
"0","20250226","100.000014975","100.000014975"
"0","20250227","99.9834996601","99.9834996601"
"0","20250228","100.008533388","100.008533388"
"0","20250303","99.9896195947","99.9896195947"
"0","20250304","100.005448177","100.005448177"
"0","20250305","99.9999195125","99.9999195125"
"0","20250306","99.9752524554","99.9752524554"
"0","20250307","100.005896622","100.005896622"
"0","20250310","99.9674752763","99.9674752763"
"0","20250311","99.9915788623","99.9915788623"
"0","20250312","99.9997896397","99.9997896397"
"0","20250313","99.982602155","99.982602155"
"0","20250314","100.02025337","100.02025337"
"0","20250317","100.01139452","100.01139452"
"0","20250318","99.9973492939","99.9973492939"
"0","20250319","100.018151571","100.018151571"
"0","20250320","99.9879307429","99.9879307429"
"0","20250321","99.981912406","99.981912406"
"0","20250324","100.019395166","100.019395166"
"0","20250325","99.9969796048","99.9969796048"
"0","20250326","99.9845993497","99.9845993497"
"0","20250327","99.9825953878","99.9825953878"
"0","20250328","99.9758717026","99.9758717026"
"0","20250331","99.9930357828","99.9930357828"
"0","20250401","99.9989960294","99.9989960294"
"0","20250402","99.9966543012","99.9966543012"
"0","20250403","99.9477219218","99.9477219218"
"0","20250404","99.9496350205","99.9496350205"
"0","20250407","99.9753832388","99.9753832388"
"0","20250408","99.9673706599","99.9673706599"
"0","20250409","100.087998359","100.087998359"
"0","20250410","99.9475589439","99.9475589439"
"0","20250411","100.008436317","100.008436317"
"0","20250414","100.016642537","100.016642537"
"0","20250415","100.007902546","100.007902546"
"0","20250416","99.9843228172","99.9843228172"
"0","20250417","100.012054121","100.012054121"
"0","20250418","100","100"
"0","20250421","99.971928475","99.971928475"
"0","20250422","100.012198499","100.012198499"
"0","20250423","100.026276252","100.026276252"
"0","20250424","100.017220304","100.017220304"
"0","20250425","100.000301291","100.000301291"
"0","20250428","99.994046544","99.994046544"
"0","20250429","100.00246708","100.00246708"
"0","20250430","99.9964293508","99.9964293508"
"0","20250501","99.9979216629","99.9979216629"
"0","20250502","100.025618415","100.025618415"
"0","20250505","100.007669374","100.007669374"
"0","20250506","99.9917398923","99.9917398923"
"0","20250507","100.008268637","100.008268637"
"0","20250508","100.017261553","100.017261553"
"0","20250509","99.9976459015","99.9976459015"
"0","20250512","100.0540679","100.0540679"
"0","20250513","100.013676281","100.013676281"
"0","20250514","99.9834053046","99.9834053046"
"0","20250515","100.006740799","100.006740799"
"0","20250516","100.002127662","100.002127662"
"0","20250519","99.9965809699","99.9965809699"
"0","20250520","100.000254519","100.000254519"
"0","20250521","99.966786654","99.966786654"
"0","20250522","100.005631396","100.005631396"
"0","20250523","99.9856250163","99.9856250163"
"0","20250526","100","100"
"0","20250527","100.034368707","100.034368707"
"0","20250528","99.9954435247","99.9954435247"
"0","20250529","100.000000435","100.000000435"
"0","20250530","100.001310757","100.001310757"
"0","20250602","100.006835907","100.006835907"
"0","20250603","100.003310846","100.003310846"
"0","20250604","99.9979144012","99.9979144012"
"0","20250605","99.9958520031","99.9958520031"
"0","20250606","100.015360112","100.015360112"
"0","20250609","100.00238918","100.00238918"
"0","20250610","100.007354031","100.007354031"
"0","20250611","99.9982381683","99.9982381683"
"0","20250612","99.9949241805","99.9949241805"
"0","20250613","99.9778571197","99.9778571197"
"0","20250616","100.015704496","100.015704496"
"0","20250617","99.9771213285","99.9771213285"
"0","20250618","100.004792057","100.004792057"
"0","20250619","100","100"
"0","20250620","100.000945249","100.000945249"
"0","20250623","100.012459983","100.012459983"
"0","20250624","100.018657544","100.018657544"
"0","20250625","99.9948405557","99.9948405557"
"0","20250626","100.007726446","100.007726446"
"0","20250627","100.005573603","100.005573603"
"0","20250630","100.010200132","100.010200132"
"0","20250701","100.003806328","100.003806328"
"0","20250702","100.003912483","100.003912483"
"0","20250703","100.008527965","100.008527965"
"0","20250704","100","100"
"0","20250707","99.9865468946","99.9865468946"
"0","20250708","99.9949348713","99.9949348713"
"0","20250709","100.01189957","100.01189957"
"0","20250710","100.002578933","100.002578933"
"0","20250711","99.9920751706","99.9920751706"
"0","20250714","99.9960458363","99.9960458363"
"0","20250715","99.988062902","99.988062902"
"0","20250716","100.001605391","100.001605391"
"0","20250717","100.012786777","100.012786777"
"0","20250718","99.9975306475","99.9975306475"
"0","20250721","99.9991903408","99.9991903408"
"0","20250722","99.9984786836","99.9984786836"
"0","20250723","100.010863679","100.010863679"
"0","20250724","99.9996885541","99.9996885541"
"0","20250725","100.001514891","100.001514891"
"0","20250728","99.9975165289","99.9975165289"
"0","20250729","99.9930326986","99.9930326986"
"0","20250730","100.001078596","100.001078596"
"0","20250731","99.9940736109","99.9940736109"
"0","20250801","99.9726250503","99.9726250503"
"0","20250804","100.019748354","100.019748354"
"0","20250805","99.9947094665","99.9947094665"
"0","20250806","100.005046173","100.005046173"
"0","20250807","100.000183785","100.000183785"
"0","20250808","100.009067603","100.009067603"
"0","20250811","99.9960848962","99.9960848962"
"0","20250812","100.014904268","100.014904268"
"0","20250813","100.004235484","100.004235484"
"0","20250814","99.9964158393","99.9964158393"
"0","20250815","99.9996719445","99.9996719445"
"0","20250818","99.9997128657","99.9997128657"
"0","20250819","99.996166548","99.996166548"
"0","20250820","99.9963067991","99.9963067991"
"0","20250821","99.9906180451","99.9906180451"
"0","20250822","100.026572105","100.026572105"
"0","20250825","99.9939312243","99.9939312243"
"0","20250826","99.9998461269","99.9998461269"
"0","20250827","99.992478298","99.992478298"
"0","20250828","100.002802338","100.002802338"
"0","20250829","99.9909149757","99.9909149757"
"0","20250901","100","100"
"0","20250902","99.9981002258","99.9981002258"
"0","20250903","100.001911796","100.001911796"
"0","20250904","100.014923688","100.014923688"
"0","20250905","99.9952535688","99.9952535688"
"0","20250908","99.9998842936","99.9998842936"
"0","20250909","100.003557549","100.003557549"
"0","20250910","100.006404362","100.006404362"
"0","20250911","100.01417606","100.01417606"
"0","20250912","99.9979638416","99.9979638416"
"0","20250915","100.010053619","100.010053619"
"0","20250916","99.9957820146","99.9957820146"
"0","20250917","99.9945713942","99.9945713942"
"0","20250918","100.009935276","100.009935276"
"0","20250919","99.9968715954","99.9968715954"
"0","20250922","99.9924872653","99.9924872653"
"0","20250923","99.9925786848","99.9925786848"
"0","20250924","99.9903466525","99.9903466525"
"0","20250925","99.9858481548","99.9858481548"
"0","20250926","100.002270641","100.002270641"
"0","20250929","100.002761418","100.002761418"
"0","20250930","99.9954212507","99.9954212507"
"0","20251001","99.9945462971","99.9945462971"
"0","20251002","100.000409162","100.000409162"
"0","20251003","99.9970545985","99.9970545985"
"0","20251006","100.005271681","100.005271681"
"0","20251007","99.9954859101","99.9954859101"
"0","20251008","99.9948669559","99.9948669559"
"0","20251009","99.9939655885","99.9939655885"
"0","20251010","99.9680892712","99.9680892712"
"0","20251013","100","100"
"0","20251014","100.021643321","100.021643321"
"0","20251015","100.005044927","100.005044927"
"0","20251016","99.9797995909","99.9797995909"
"0","20251017","100.010243264","100.010243264"
